dataset,question_id,question_text,split,early_stop_correct_proportions,difficulty,gpt_assessment,model_predicted_difficulty
gsm8k,train_3710,"<｜User｜>4 students participated in a 200m race. If the average completion time of the last three students was 35 seconds, and the average completion time of all four runners was 30 seconds, how long (in seconds) did it take the student who came first to finish the race?<｜Assistant｜>",train,"[0.01, 0.02, 0.04, 0.09, 0.46, 0.58, 0.68, 0.68, 0.7, 0.73, 0.72, 0.71, 0.72, 0.72, 0.83, 0.83]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem only requires computing total times from given averages and subtracting, a straightforward arithmetic step suitable for beginners.""}",medium
gsm8k,train_3711,"<｜User｜>If Katherine has 4 apples and 3 times as many pears in her fridge, how many bananas does she have if she has a total of 21 pieces of fruit?<｜Assistant｜>",train,"[0.0, 0.0, 0.01, 0.1, 0.21, 0.41, 0.63, 0.8, 0.86, 0.87, 0.84, 0.88, 0.84, 0.83, 0.85, 0.88]",easy,"{""difficulty"": ""easy"", ""reasoning"": ""This problem requires only simple multiplication and subtraction with small whole numbers.""}",easy
gsm8k,train_3712,"<｜User｜>Peter is raking leaves. It takes him 15 minutes to rake 3 bags of leaves. If he keeps raking at the same rate, how long will it take him to rake 8 bags?<｜Assistant｜>",train,"[0.02, 0.08, 0.27, 0.62, 0.81, 0.72, 0.76, 0.67, 0.72, 0.75, 0.75, 0.84, 0.79, 0.81, 0.82, 0.87]",easy,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves a straightforward unit-rate proportion calculation that requires only basic arithmetic.""}",easy
gsm8k,train_3713,<｜User｜>Lovely cuts her birthday cake into 12 equal pieces. Only one-fourth of the cake was eaten by her visitors and the rest were kept. How many slices of cake were kept?<｜Assistant｜>,train,"[0.61, 0.61, 0.21, 0.47, 0.53, 0.66, 0.58, 0.57, 0.62, 0.63, 0.73, 0.69, 0.76, 0.68, 0.77, 0.77]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves a simple fraction calculation and subtraction appropriate for elementary level.""}",easy
gsm8k,train_3714,"<｜User｜>Jacoby wants to save money for a trip to Brickville. He needs to have $5000 total to go on his trip. He works a job earning $20 per hour and works 10 hours. He then finds he can sell cookies for $4 each, and he sells 24 pieces of cookies. With the money he has so far, he buys a lottery ticket for $10 and wins $500. Finally, he gets $500 from both of his sisters as a gift. How much more, in dollars, does Jacob need to go to Brickville?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",hard,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves straightforward arithmetic operations (addition, subtraction, multiplication) without requiring advanced concepts, making it suitable for beginner level.""}",hard
gsm8k,train_3715,"<｜User｜>Sam bought a dozen boxes, each with 30 highlighter pens inside, for $10 each box. He rearranged five of these boxes into packages of six highlighters each and sold them for $3 per package. He sold the rest of the highlighters separately at the rate of three pens for $2. How much profit did he make in total, in dollars?<｜Assistant｜>",train,"[0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",hard,"{""difficulty"": ""medium"", ""reasoning"": ""The problem requires multiple straightforward arithmetic steps (multiplication, division, addition, subtraction) and careful tracking of quantities and revenue, making it more involved than a simple calculation but still accessible.""}",hard
gsm8k,train_3716,<｜User｜>John starts at an elevation of 400 feet.  He travels downward at a rate of 10 feet down per minute for 5 minutes.  What is his elevation now?<｜Assistant｜>,train,"[0.97, 0.92, 0.74, 0.81, 0.84, 0.68, 0.79, 0.61, 0.59, 0.48, 0.56, 0.65, 0.58, 0.64, 0.65, 0.68]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves simple multiplication and subtraction to find the new elevation, making it a basic arithmetic word problem.""}",medium
gsm8k,train_3717,"<｜User｜>Mark plants some strawberries in his backyard. Every month, the number of strawberry plants doubles. After 3 months, Mark digs up 4 strawberry plants and gives them to his friend.  If he still has 20 strawberry plants, how many did he initially plant?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.01, 0.0, 0.02, 0.03, 0.02, 0.08, 0.12, 0.08, 0.12, 0.22, 0.29, 0.38, 0.42]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves straightforward doubling over fixed periods and a simple subtraction, solvable with basic algebra.""}",medium
gsm8k,train_3718,"<｜User｜>Tom opens an amusement park.  It cost $100,000 to open initially.  It also cost 1% of that to run per day.  He sells 150  tickets a day for $10 each.  How long will it take to make back his money?<｜Assistant｜>",train,"[0.01, 0.03, 0.05, 0.01, 0.02, 0.03, 0.02, 0.09, 0.22, 0.22, 0.24, 0.21, 0.22, 0.23, 0.25, 0.21]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves a straightforward linear profit calculation with basic percentage and division operations, suitable for introductory algebra.""}",medium
gsm8k,train_3719,"<｜User｜>Georgia is working on a math test with 75 problems on it. After 20 minutes she has completed 10 problems. After another 20 minutes, she has completed twice as many problems. She has 40 minutes to complete the rest of the test. How many problems does she have left to solve?<｜Assistant｜>",train,"[0.0, 0.05, 0.03, 0.12, 0.24, 0.29, 0.35, 0.36, 0.48, 0.51, 0.45, 0.38, 0.44, 0.42, 0.52, 0.5]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves basic arithmetic operations and simple doubling, which are straightforward for middle-school level students to perform.""}",medium
gsm8k,train_3720,"<｜User｜>A baker sells pastries for $5 and works 7 days a week. On Monday he sold 2. Every day the number of sales increases by 1 compared to the previous day. On average, how many pastries does he sell on each day of the week?<｜Assistant｜>",train,"[0.0, 0.0, 0.02, 0.09, 0.08, 0.07, 0.07, 0.12, 0.21, 0.55, 0.67, 0.67, 0.72, 0.75, 0.68, 0.73]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves a straightforward arithmetic progression and average calculation, suitable for basic algebra.""}",medium
gsm8k,train_3721,"<｜User｜>Jessica is having a sweet tooth and bought 10 chocolate bars, 10 packs of gummy bears, and 20 bags of chocolate chips. Her total rang up to $150. If the cost of a pack of gummy bears is $2 and a bag of chocolate chips costs $5, how much does 1 chocolate bar cost?<｜Assistant｜>",train,"[0.02, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.04, 0.09, 0.14, 0.25, 0.44, 0.48, 0.55, 0.6, 0.56]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This is a straightforward one\u2010variable linear equation requiring basic algebra to solve for the price of one chocolate bar.""}",medium
gsm8k,train_3722,"<｜User｜>Jorge is 24 years younger than Simon. In 2005, Jorge is 16 years old. In 2010, how old would Simon be?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.05, 0.14, 0.23, 0.31, 0.35, 0.36, 0.36, 0.42, 0.39, 0.47, 0.45, 0.46, 0.49]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves basic subtraction and addition of ages with no complex steps, making it straightforward for early learners.""}",medium
gsm8k,train_3723,"<｜User｜>Cameron drives at twice the speed of his brother, Chase.  But Danielle drives at three times the speed of Cameron.  If it takes Danielle 30 minutes to travel from Granville to Salisbury, how long, in minutes, will it take Chase to travel from Granville to Salisbury?<｜Assistant｜>",train,"[0.03, 0.06, 0.06, 0.02, 0.0, 0.0, 0.01, 0.01, 0.01, 0.03, 0.01, 0.02, 0.02, 0.02, 0.02, 0.02]",hard,"{""difficulty"": ""easy"", ""reasoning"": ""This problem requires basic proportional reasoning with speeds and times, suitable for introductory algebra.""}",medium
gsm8k,train_3724,"<｜User｜>Bruce recently had a birthday. His aunt sent him a card with $75 and his grandfather sent him a card that had $150 in it. He wants to go on a trip to Europe soon, so he decides to put one-fifth of the money he got for his birthday in the bank. How much money did he put in the bank?<｜Assistant｜>",train,"[0.0, 0.05, 0.03, 0.65, 0.84, 0.8, 0.94, 0.94, 0.93, 0.91, 0.96, 0.96, 0.98, 1.0, 0.93, 0.83]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves straightforward addition and finding one-fifth of the total, which is basic arithmetic suitable for elementary-level students.""}",easy
gsm8k,train_3725,"<｜User｜>At Peanut Emporium, peanuts cost $3 per pound with a 15-pound minimum. If Baxter spent $105 on peanuts, how many pounds over the minimum did he purchase?<｜Assistant｜>",train,"[0.06, 0.04, 0.05, 0.08, 0.26, 0.43, 0.56, 0.68, 0.7, 0.72, 0.77, 0.85, 0.94, 0.95, 0.92, 0.94]",easy,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves a straightforward one-step linear equation with basic division and subtraction, suitable for early algebra or arithmetic practice.""}",easy
gsm8k,train_3726,"<｜User｜>Chad bought 6 packages of cat food and 2 packages of dog food. Each package of cat food contained 9 cans, and each package of dog food contained 3 cans. How many more cans of cat food than dog food did Chad buy?<｜Assistant｜>",train,"[0.12, 0.03, 0.01, 0.0, 0.06, 0.12, 0.14, 0.17, 0.18, 0.21, 0.19, 0.22, 0.22, 0.28, 0.34, 0.48]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem only requires basic multiplication and subtraction with small whole numbers, making it straightforward to solve.""}",medium
gsm8k,train_3727,<｜User｜>Steph needs to cook fried chicken for the kid's party. She bought 24 pieces of drumstick and 4 fewer breast parts. How many fried chickens can Steph make?<｜Assistant｜>,train,"[0.0, 0.0, 0.01, 0.03, 0.18, 0.24, 0.26, 0.26, 0.25, 0.27, 0.24, 0.26, 0.28, 0.29, 0.3, 0.32]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem only requires a single subtraction to find breast parts (24\u22124=20) and an addition (24+20=44), making it a straightforward one-step arithmetic question.""}",easy
gsm8k,train_3728,"<｜User｜>Marcus is making calzones. It takes him 20 minutes to saute the onions and a quarter of that time to saute the garlic and peppers. It takes him 30 minutes to knead the dough, twice as long to let it rest, and 1/10th the combined kneading and resting time to assemble the calzones. How many minutes does Marcus spend on the calzones total?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.03, 0.07, 0.15, 0.31, 0.4, 0.43, 0.49, 0.52]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves straightforward arithmetic with basic fractions and simple time calculations across a few steps, making it suitable for elementary or middle school level.""}",medium
gsm8k,train_3729,"<｜User｜>Stan makes a playlist for the next time he goes running. He has 10 3-minute songs and 15 2-minute songs on his playlist. His entire run takes 100 minutes. If Stan wants a playlist to cover his entire run, how many more minutes of songs will he need in his playlist?<｜Assistant｜>",train,"[0.01, 0.0, 0.04, 0.06, 0.08, 0.24, 0.53, 0.65, 0.58, 0.69, 0.78, 0.78, 0.74, 0.77, 0.78, 0.78]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""The problem requires basic multiplication and subtraction to find total song time and the difference to 100, which is straightforward arithmetic.""}",medium
gsm8k,train_3730,"<｜User｜>Peter and Kristin are to read 20 fantasy novels each in a week. Peter can read three times as fast as Kristin. If Peter reads one book in 18 hours, how long will Kristin read half of her books?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.03, 0.06]",hard,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves straightforward proportional reasoning with reading rates and simple arithmetic to find the time required, typical of an easy-level algebra question.""}",medium
gsm8k,train_3731,"<｜User｜>There are 6 times as many lab coats as uniforms in the lab. The number of lab techs is half of the number of uniforms. If there are 12 uniforms in the lab, and the lab techs share the coats and uniforms equally among them, how many coats and uniforms in total does each lab tech get?<｜Assistant｜>",train,"[0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06, 0.13, 0.29, 0.4, 0.55, 0.58, 0.64, 0.61, 0.63, 0.66]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves basic arithmetic operations (multiplication and division) in a straightforward context, suitable for elementary algebra practice.""}",medium
gsm8k,train_3732,<｜User｜>David finished his homework in 60 minutes. He spent 15 minutes on his math homework and 18 minutes on his spelling homework. He spent the rest of the time reading for his daily reading log. How many minutes did he spend reading?<｜Assistant｜>,train,"[0.53, 0.65, 0.94, 0.83, 0.68, 0.72, 0.82, 0.89, 0.88, 0.89, 0.91, 0.83, 0.81, 0.83, 0.84, 0.82]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem requires only basic addition and subtraction of whole numbers, making it straightforward for most learners.""}",easy
gsm8k,train_3733,"<｜User｜>Last year, Jorge planted corn on all of his 60 acres of property.  Typically, corn grown on good soil yields 400 bushels per acre, but in clay-rich soil, the yield is only half as much per acre as in good soil.  One-third of Jorge's 60 acres of land is clay-rich soil and the rest is good soil.  How many bushels of corn did Jorge's land yield last year?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.06, 0.02, 0.0, 0.0, 0.06, 0.14, 0.14, 0.16, 0.18, 0.16, 0.21]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves basic fraction, multiplication, and addition operations with straightforward numbers, making it a simple arithmetic exercise.""}",medium
gsm8k,train_3734,<｜User｜>Jerry is making cherry syrup. He needs 500 cherries per quart of syrup. It takes him 2 hours to pick 300 cherries and 3 hours to make the syrup. How long will it take him to make 9 quarts of syrup?<｜Assistant｜>,train,"[0.01, 0.01, 0.0, 0.01, 0.02, 0.0, 0.0, 0.02, 0.14, 0.11, 0.12, 0.09, 0.03, 0.01, 0.02, 0.04]",hard,"{""difficulty"": ""medium"", ""reasoning"": ""This multi-step rate problem requires computing total cherries, picking time, and syrup-making time, which is more involved than a basic one-step calculation.""}",medium
gsm8k,train_3735,<｜User｜>Camille saw 3 cardinals and four times as many robins as cardinals while bird watching. She also saw twice as many blue jays as cardinals and 1 more than three times as many sparrows as cardinals. How many birds did Camille see?<｜Assistant｜>,train,"[0.0, 0.0, 0.01, 0.01, 0.01, 0.03, 0.0, 0.0, 0.05, 0.22, 0.28, 0.32, 0.36, 0.3, 0.27, 0.2]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves basic multiplication and addition with small integers, suitable for an introductory algebra exercise.""}",medium
gsm8k,train_3736,"<｜User｜>Jackson is making dinner. He makes a salad out of lettuce (50 calories), carrots (twice the calories of the lettuce) and dressing (210 calories). He also makes a pizza with 600 calories for the crust, 1/3 the crust's calories for the pepperoni, and 400 calories for the cheese. If Jackson eats 1/4 of the salad and 1/5 of the pizza, how many calories does he eat?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.02, 0.02, 0.01, 0.03, 0.0, 0.01, 0.03, 0.06, 0.13, 0.28, 0.4, 0.61, 0.64]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves straightforward arithmetic with fractions and sums, suitable for basic middle-school level skills.""}",medium
gsm8k,train_3737,"<｜User｜>Patricia has 4 barrels of 7 gallons each. All of them are empty, and there's only one faucet with a flow rate of 3.5 gallons per minute. How many minutes will it take to fill all 4 barrels?<｜Assistant｜>",train,"[0.0, 0.02, 0.69, 0.84, 0.75, 0.82, 0.78, 0.85, 0.78, 0.74, 0.76, 0.76, 0.77, 0.77, 0.83, 0.75]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This is a straightforward arithmetic rate problem requiring only basic multiplication and division.""}",medium
gsm8k,train_3738,"<｜User｜>Julieta went to the store to buy a backpack and three ring-binders for her school supplies. She knew the backpack was $50, and each ring-binder cost was $20. However, at the store, she found out that the price of a back had increased by $5, and the price of a ring-binder had reduced by $2. Calculate the total amount of money Julieta spent at the store.<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.01, 0.04, 0.13, 0.28, 0.32, 0.47, 0.52, 0.59, 0.67, 0.7, 0.67, 0.7, 0.7]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""The problem requires only basic arithmetic operations (addition, subtraction, multiplication) with small integers, making it straightforward to solve.""}",medium
gsm8k,train_3739,"<｜User｜>Haley, Michael and Brandon were trying a marshmallow challenge to see who could hold more marshmallows in their mouths. Haley could hold 8 marshmallows in her mouth. Michael could hold 3 times as many marshmallows as Haley. Brandon could hold half as many as Michael. How many total marshmallows did all three kids hold in their mouths?<｜Assistant｜>",train,"[0.01, 0.02, 0.08, 0.16, 0.23, 0.78, 0.68, 0.84, 0.81, 0.89, 0.91, 0.9, 0.82, 0.79, 0.83, 0.9]",easy,"{""difficulty"": ""easy"", ""reasoning"": ""The problem requires only simple multiplication, division, and addition steps suitable for elementary\u2010level math.""}",easy
gsm8k,train_3740,"<｜User｜>Grace's age is 3/8th the age of her grandmother. Her grandmother is twice the age of Grace's mother. If Grace's mother is 80 years old, how old is Grace?<｜Assistant｜>",train,"[0.04, 0.0, 0.06, 0.4, 0.54, 0.62, 0.64, 0.68, 0.72, 0.77, 0.78, 0.81, 0.81, 0.94, 0.89, 0.9]",easy,"{""difficulty"": ""easy"", ""reasoning"": ""The problem involves simple proportional reasoning and basic arithmetic operations (multiplication and fraction), making it straightforward to solve.""}",medium
gsm8k,train_3741,"<｜User｜>Roger uses his lunch break to walk the stairs in his office building.  He can walk 2,000 steps in 30 minutes.  If his daily goal is 10,000 steps, how many minutes will it take him to reach his goal?<｜Assistant｜>",train,"[0.07, 0.23, 0.14, 0.26, 0.45, 0.68, 0.64, 0.72, 0.69, 0.65, 0.65, 0.65, 0.63, 0.65, 0.76, 0.7]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This is a straightforward unit-rate and proportion problem requiring only simple multiplication to scale steps to time.""}",medium
gsm8k,train_3742,"<｜User｜>A retailer sells any shirt for the same price and any pair of pants for the same price, but the price of shirts and pants are not the same. Say you bought 2 shirts and 3 pairs of pants for $120 in total, then you realized you didn't need the extra pants. What's the price of 1 shirt at this place if when you returned all 3 pairs of pants you were refunded 25% of what you originally paid?<｜Assistant｜>",train,"[0.0, 0.04, 0.0, 0.03, 0.06, 0.04, 0.02, 0.03, 0.06, 0.04, 0.07, 0.1, 0.07, 0.12, 0.1, 0.09]",hard,"{""difficulty"": ""easy"", ""reasoning"": ""The problem requires setting up and solving basic linear equations with one unknown, which is straightforward algebra at an elementary level.""}",hard
gsm8k,train_3743,"<｜User｜>Calum runs a nightclub and decides to run a disco night to attract different customers. He is planning the event and is calculating how much he can spend on each item without spending more than he has budgeted. He only needs to buy 4 disco balls and 10 boxes of food. Each box of food costs $25. Calum’s budget for the disco balls and food is $330. How much, in dollars, can Calum afford to spend on each disco ball?<｜Assistant｜>",train,"[0.05, 0.01, 0.01, 0.0, 0.02, 0.19, 0.46, 0.58, 0.68, 0.72, 0.73, 0.73, 0.73, 0.68, 0.74, 0.79]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves a straightforward single-variable linear equation with basic arithmetic (subtraction and division), making it appropriate for an easy level.""}",medium
gsm8k,train_3744,"<｜User｜>Sally Draper gave her dad Don Draper 10oz of rum on his pancakes. Don can consume a maximum of 3 times that amount of rum for a healthy diet. If he already had 12oz of rum earlier that day, how many oz of rum can Don have after eating all of the rum and pancakes?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.05, 0.05, 0.05, 0.04, 0.05, 0.06, 0.08, 0.07]",hard,"{""difficulty"": ""easy"", ""reasoning"": ""The problem only involves basic multiplication and subtraction with small whole numbers, making it straightforward to solve.""}",medium
gsm8k,train_3745,"<｜User｜>Jenny wants to heat a dish for dinner.  It needs to be at 100 degrees before it is ready to eat.  It is 20 degrees when she places it in the oven, and it heats up 5 degrees every minute.  How many minutes will it take to be ready?<｜Assistant｜>",train,"[0.79, 0.55, 0.48, 0.45, 0.66, 0.71, 0.78, 0.87, 0.93, 0.88, 0.93, 0.92, 0.92, 0.89, 0.86, 0.86]",easy,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves a simple one-step linear calculation (subtract and divide), suitable for basic arithmetic practice.""}",easy
gsm8k,train_3746,"<｜User｜>A pen and pencil have a total cost of $6. If the pen costs twice as much as the pencil, what is the cost of the pen?<｜Assistant｜>",train,"[0.71, 0.85, 0.74, 0.88, 0.85, 0.91, 0.9, 0.57, 0.65, 0.78, 0.86, 0.89, 0.85, 0.88, 0.85, 0.89]",easy,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves setting up a simple linear equation and performing basic arithmetic to find the pen\u2019s cost.""}",easy
gsm8k,train_3747,<｜User｜>A math teacher had $100 to buy three different types of calculators. A basic calculator costs $8. A scientific calculator costs twice the price as the basic while a graphing calculator costs thrice the price as the scientific. How much change did she receive after buying those three different types of calculators?<｜Assistant｜>,train,"[0.0, 0.0, 0.02, 0.0, 0.0, 0.06, 0.05, 0.07, 0.05, 0.11, 0.06, 0.1, 0.07, 0.06, 0.08, 0.1]",hard,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves basic arithmetic operations (simple multiplication and subtraction) with clear numeric values, making it suitable for an easy difficulty level.""}",medium
gsm8k,train_3748,"<｜User｜>Lucy works in a pet shop. She can clean 2 aquariums in 3 hours. If Lucy is working 24 hours this week, how many aquariums could she clean?<｜Assistant｜>",train,"[0.84, 0.79, 0.92, 0.87, 0.79, 0.88, 0.86, 0.84, 0.88, 0.97, 0.96, 0.97, 0.97, 0.96, 0.94, 0.96]",easy,"{""difficulty"": ""easy"", ""reasoning"": ""This problem requires basic proportional reasoning and unit rate calculation, topics typically introduced at the elementary level.""}",easy
gsm8k,train_3749,<｜User｜>Tricia buys large bottles of iced coffee that have 6 servings per container.  She drinks half a container a day.  The coffee is currently on sale for $3.00 a bottle.  How much will it cost her to buy enough bottles to last for 2 weeks?<｜Assistant｜>,train,"[0.0, 0.07, 0.06, 0.09, 0.1, 0.24, 0.36, 0.31, 0.41, 0.42, 0.46, 0.44, 0.47, 0.43, 0.48, 0.41]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves simple unit-rate and multiplication calculations (half container per day over 14 days and cost per bottle), making it straightforward arithmetic.""}",medium
